net9 X,net9 Y,net09 X,net09 Y
0,0.4999356526248043,0,0.5
1.000000000000002e-10,0.4999871648230067,1.000000000000002e-10,0.51
1.907681662250005e-10,0.5000470985483916,1.907681662250005e-10,0.5190768166225831
2.907681662250007e-10,0.500120744294128,2.907681662250007e-10,0.529076816622583
3.907681662250009e-10,0.500210119572584,3.907681662250009e-10,0.539076816622583
4.907681662250012e-10,0.5003185415149692,4.907681662250012e-10,0.549076816622583
5.907681662250014e-10,0.5004532450355891,5.907681662250014e-10,0.559076816622583
6.907681662250016e-10,0.5006241206139302,6.907681662250016e-10,0.569076816622583
7.907681662250019e-10,0.5008430989326667,7.907681662250019e-10,0.579076816622583
8.907681662250021e-10,0.5011237891152046,8.907681662250021e-10,0.589076816622583
9.453840831120022e-10,0.5013079494249678,9.453840831120022e-10,0.5945384083112915
1.000000000000002e-09,0.5015174924062663,1.000000000000002e-09,0.6
1.100000000000003e-09,0.5019942808270659,1.100000000000003e-09,0.6
1.197710006686003e-09,0.5025095610718265,1.197710006686003e-09,0.6
1.297710006686003e-09,0.5031484134130609,1.297710006686003e-09,0.6
1.397710006686003e-09,0.5039099252141188,1.397710006686003e-09,0.6
1.497710006686003e-09,0.5047976243877865,1.497710006686003e-09,0.6
1.597710006686004e-09,0.505810121101046,1.597710006686004e-09,0.6
1.697710006686004e-09,0.5069420685942477,1.697710006686004e-09,0.6
1.797710006686004e-09,0.5081852752829025,1.797710006686004e-09,0.6
1.897710006686005e-09,0.5095293592694311,1.897710006686005e-09,0.6
1.997710006686005e-09,0.5109626937997236,1.997710006686005e-09,0.6
2.097710006686005e-09,0.5124729295575869,2.097710006686005e-09,0.6
2.197710006686005e-09,0.5140477261464161,2.197710006686005e-09,0.6
2.297710006686005e-09,0.5156750634149395,2.297710006686005e-09,0.6
2.397710006686006e-09,0.5173437191795404,2.397710006686006e-09,0.6
2.497710006686006e-09,0.519043361115413,2.497710006686006e-09,0.6
2.597710006686006e-09,0.5207648074251723,2.597710006686006e-09,0.6
2.697710006686006e-09,0.5224999532374762,2.697710006686006e-09,0.6
2.797710006686006e-09,0.524241885870859,2.797710006686006e-09,0.6
2.897710006686007e-09,0.5259847147664688,2.897710006686007e-09,0.6
2.997710006686007e-09,0.5277236093373164,2.997710006686007e-09,0.6
3.097710006686007e-09,0.5294545886089953,3.097710006686007e-09,0.6
3.197710006686008e-09,0.5311745299679672,3.197710006686008e-09,0.6
3.297710006686008e-09,0.5328809543426655,3.297710006686008e-09,0.6
3.397710006686008e-09,0.5345720338300688,3.397710006686008e-09,0.6
3.497710006686008e-09,0.5362463908915284,3.497710006686008e-09,0.6
3.597710006686009e-09,0.5379031178312009,3.597710006686009e-09,0.6
3.697710006686009e-09,0.5395415969407851,3.697710006686009e-09,0.6
3.797710006686009e-09,0.5411615356684749,3.797710006686009e-09,0.6
3.897710006686009e-09,0.5427628082194635,3.897710006686009e-09,0.6
3.99771000668601e-09,0.5443455055472097,3.99771000668601e-09,0.6
4.09771000668601e-09,0.5459097959645877,4.09771000668601e-09,0.6
4.19771000668601e-09,0.5474559871541004,4.19771000668601e-09,0.6
4.29771000668601e-09,0.5489844024091811,4.29771000668601e-09,0.6
4.39771000668601e-09,0.5504954514343886,4.39771000668601e-09,0.6
4.497710006686011e-09,0.5519895189146038,4.497710006686011e-09,0.6
4.597710006686011e-09,0.5534670411574075,4.597710006686011e-09,0.6
4.697710006686011e-09,0.5549284041831066,4.697710006686011e-09,0.6
4.797710006686011e-09,0.5563740237976234,4.797710006686011e-09,0.6
4.897710006686011e-09,0.5578042509930393,4.897710006686011e-09,0.6
4.997710006686012e-09,0.5592194536026224,4.997710006686012e-09,0.6
5.097710006686012e-09,0.5606199273538814,5.097710006686012e-09,0.6
5.197710006686012e-09,0.56200597775135,5.197710006686012e-09,0.6
5.297710006686012e-09,0.5633778355787477,5.297710006686012e-09,0.6
5.397710006686012e-09,0.5647357380493796,5.397710006686012e-09,0.6
5.497710006686013e-09,0.5660798479040516,5.497710006686013e-09,0.6
5.597710006686013e-09,0.5674103331671124,5.597710006686013e-09,0.6
5.697710006686013e-09,0.5687272892435153,5.697710006686013e-09,0.6
5.797710006686013e-09,0.5700308168315665,5.797710006686013e-09,0.6
5.897710006686014e-09,0.5713209465980239,5.897710006686014e-09,0.6
5.997710006686014e-09,0.5725977149343998,5.997710006686014e-09,0.6
6.097710006686014e-09,0.5738610908826631,6.097710006686014e-09,0.6
6.197710006686015e-09,0.5751110494714868,6.197710006686015e-09,0.6
6.297710006686015e-09,0.5763475005629287,6.297710006686015e-09,0.6
6.397710006686015e-09,0.5775703594454248,6.397710006686015e-09,0.6
6.497710006686016e-09,0.5787794771436554,6.497710006686016e-09,0.6
6.597710006686016e-09,0.5799747077457121,6.597710006686016e-09,0.6
6.697710006686016e-09,0.5811558394292876,6.697710006686016e-09,0.6
6.797710006686016e-09,0.582322657618667,6.797710006686016e-09,0.6
6.897710006686016e-09,0.5834748754768284,6.897710006686016e-09,0.6
6.997710006686017e-09,0.5846121913468034,6.997710006686017e-09,0.6
7.097710006686017e-09,0.5857342166292082,7.097710006686017e-09,0.6
7.197710006686017e-09,0.5868405249063394,7.197710006686017e-09,0.6
7.297710006686017e-09,0.5879305737617287,7.297710006686017e-09,0.6
7.397710006686017e-09,0.5890037412690802,7.397710006686017e-09,0.6
7.497710006686017e-09,0.590059236200888,7.497710006686017e-09,0.6
7.597710006686018e-09,0.5910961152015914,7.597710006686018e-09,0.6
7.697710006686019e-09,0.5921131737243507,7.697710006686019e-09,0.6
7.797710006686018e-09,0.5931089367366047,7.797710006686018e-09,0.6
7.897710006686019e-09,0.5940815266934353,7.897710006686019e-09,0.6
7.997710006686018e-09,0.5950286336122861,7.997710006686018e-09,0.6
8.097710006686019e-09,0.5959473840254756,8.097710006686019e-09,0.6
8.19771000668602e-09,0.5968343427176251,8.19771000668602e-09,0.6
8.297710006686019e-09,0.5976854702924699,8.297710006686019e-09,0.6
8.39771000668602e-09,0.5984962770935343,8.39771000668602e-09,0.6
8.497710006686019e-09,0.5992620014869664,8.497710006686019e-09,0.6
