net1 X,net1 Y
-0.001,0.002171124920066356
-0.00096,0.002327922567711289
-0.00092,0.002502798791889588
-0.00088,0.002698515736574071
-0.00084,0.002918371981649399
-0.0008,0.003166330711097719
-0.00076,0.003447189250865362
-0.00072,0.0037668028884975
-0.00068,0.004132384285602765
-0.0006400000000000001,0.004552909763418423
-0.0006000000000000001,0.00503967911512829
-0.0005600000000000001,0.005607099668256128
-0.0005200000000000001,0.006273803539962809
-0.0004800000000000001,0.007064268414072081
-0.0004400000000000001,0.008011211482828082
-0.0004000000000000001,0.00915918690256551
-0.0003600000000000001,0.01057007470966261
-0.0003200000000000001,0.01233155490666902
-0.0002800000000000001,0.01457029861590959
-0.0002400000000000001,0.01747273265224992
-0.0002000000000000001,0.02131907123371098
-0.0001600000000000001,0.02654678805845037
-0.0001200000000000001,0.03390470747205411
-8.00000000000001e-05,0.04505367811553934
-4.00000000000001e-05,0.06595497142366125
0,0.1616409344832262
4e-05,0.3651892213628305
8.000000000000001e-05,0.5877453664938579
0.00012,0.8102607255801019
0.00016,1.004663020827678
0.0002,1.071693616650289
0.00024,1.095376185497297
0.00028,1.10958344277337
0.00032,1.119499671364182
0.00036,1.127054279264482
0.0004,1.133061855397852
0.00044,1.137984003377452
0.00048,1.14210603282077
0.0005200000000000001,1.145616681081127
0.0005600000000000001,1.148647235747026
0.0006000000000000001,1.151292584573888
0.0006400000000000001,1.153623399647146
0.00068,1.155693609293272
0.00072,1.157545197548894
0.00076,1.15921140578518
0.0008,1.160718936410801
0.00084,1.162089510190668
0.00088,1.163340991757376
0.00092,1.164488218958416
0.00096,1.165543624375465
0.001,1.166517708072145
