net1 X,net1 Y
0,0.07294301911845986
0.024,0.08072697714193555
0.048,0.09085708172239755
0.07200000000000001,0.1044413370595699
0.096,0.121843263455629
0.12,0.142226854423032
0.144,0.1644631829172046
0.168,0.1877589006574489
0.192,0.2116303577204844
0.216,0.2357731029476494
0.24,0.259979329057935
0.264,0.2840952936551696
0.288,0.3079994665705628
0.312,0.3315908585364684
0.336,0.3547826543952844
0.36,0.377498957301044
0.3840000000000001,0.399673734187931
0.4080000000000001,0.4212517747038786
0.4320000000000001,0.4421920444533675
0.4560000000000001,0.4624744738453665
0.4800000000000001,0.4821122077030005
0.5040000000000001,0.501172832195675
0.5280000000000001,0.5198136958327001
0.5520000000000002,0.5383340579845552
0.5760000000000002,0.5572190353988681
0.6000000000000002,0.5770206993569128
0.6240000000000002,0.5976636078217652
0.6480000000000002,0.6181148795283383
0.6720000000000003,0.6425843730440035
0.6960000000000003,0.6799843018035873
0.7200000000000003,0.7279092452783102
0.7440000000000003,0.777715486379995
0.7680000000000003,0.82434463754947
0.7920000000000004,0.8658943622460614
0.8160000000000004,0.9015673408249596
0.8400000000000004,0.9309689112920571
0.8640000000000004,0.9540163713911045
0.8880000000000005,0.9710734681523112
0.9120000000000005,0.9829949458631752
0.9360000000000005,0.9909197940556471
0.9600000000000005,0.9959720186658449
0.9840000000000005,0.9990778040474877
1.008,1.000922838530869
1.032,1.001982197142164
1.056,1.002570072770919
1.080000000000001,1.00288583822353
1.104000000000001,1.003050552765073
1.128000000000001,1.003134379831293
1.152000000000001,1.003176206461814
1.176000000000001,1.003196760264667
1.2,1.003206744824392
