net1 X,net1 YRe,net1 YReImag
1,4283.820299222562,-0.3870446677545317
1.584893192461114,4283.820246359496,-0.6134244515337756
2.511886431509581,4283.820113574139,-0.9722122071936161
3.981071705534974,4283.819780032329,-1.540852388853194
6.309573444801934,4283.818942212798,-2.442085984128623
10,4283.816837703385,-3.870443550475843
15.84893192461114,4283.811551433006,-6.134232066281418
25.11886431509581,4283.798272976061,-9.722072511511477
39.81071705534975,4283.764919367951,-15.40832658652237
63.09573444801936,4283.681141161578,-24.42007438319314
100.0000000000001,4283.470714291426,-38.70130869502113
158.4893192461115,4282.942237036501,-61.32987415947478
251.1886431509582,4281.615337122763,-97.17119019563373
398.1071705534976,4278.285938288614,-153.8862186553148
630.9573444801939,4269.945657121582,-243.4178291070819
1000.000000000001,4249.138527329043,-383.9115857057303
1584.893192461115,4197.756866973298,-601.1022335961875
2511.886431509583,4074.010637118806,-924.6024911531853
3981.071705534978,3793.131755628449,-1364.38033038767
6309.573444801941,3233.188306286246,-1843.23252360921
10000.00000000001,2358.544725311233,-2131.19109525347
15848.93192461116,1404.16572320962,-2011.267689524704
25118.86431509584,696.1548982740768,-1581.03466321156
39810.71705534979,306.8877855171461,-1105.802663944498
63095.73444801944,127.3480041010433,-729.2126316057989
100000.0000000002,51.27794379632614,-468.5223459309977
158489.3192461117,20.21332719494551,-297.7867811540194
251188.6431509586,7.71900607844924,-188.4405513339729
398107.1705534981,2.724528069372179,-119.0355351315022
630957.3444801947,0.7329517641401671,-75.13924366856833
1000000.000000002,-0.06040083438748892,-47.41520394378054
1584893.192461117,-0.3762617002500016,-29.9140498288592
2511886.431509587,-0.5018698055430822,-18.8669200524941
3981071.705534983,-0.5514977243531016,-11.89149976965727
6309573.44480195,-0.5703049673416201,-7.482735802133763
10000000.00000003,-0.5754256690455661,-4.68929613549988
15848931.92461118,-0.5716445094565403,-2.908879926423902
25118864.31509588,-0.5562537362857939,-1.759523466082297
39810717.05534985,-0.5191646095407305,-1.000990009632044
63095734.44801953,-0.4441332852149247,-0.4914156257324807
100000000.0000003,-0.3216619534935812,-0.1643592613088245
158489319.2461119,-0.1742382749521518,0.002319890479031503
251188643.1509589,-0.05646431576929371,0.04097571515746033
398107170.5534986,-0.004412954454357835,0.01989323347349436
630957344.4801955,0.0007146405728431172,0.003493607661838738
1000000000.000004,0.0001646805871353475,0.00113706965075333
1584893192.461119,0.0002531439508711107,0.0003444574652080142
2511886431.50959,0.0001441306685088967,5.086477624687704e-05
3981071705.534988,6.034492529854532e-05,-2.039897687562979e-05
6309573444.801957,1.83198164899388e-05,-3.286116730937429e-05
10000000000,-5.010530927024161e-06,-3.089466041823256e-05
