net1 X,net1 Y
0,0.264136158062573
0.024,0.2728163601226343
0.048,0.2813324210504598
0.07200000000000001,0.2902394308116371
0.096,0.2997471966546343
0.12,0.3099838863099911
0.144,0.3209971895593957
0.168,0.3327556401627322
0.192,0.3451612772287663
0.216,0.3580728307016741
0.24,0.3713304049572779
0.264,0.3847740268450764
0.288,0.3982541230242599
0.312,0.4116357688823934
0.336,0.4247993599760487
0.36,0.4376397129739107
0.3840000000000001,0.4500646372108358
0.4080000000000001,0.4619928185100441
0.4320000000000001,0.4733483437739611
0.4560000000000001,0.4840416904942159
0.4800000000000001,0.4939028476923112
0.5040000000000001,0.5024581415608284
0.5280000000000001,0.5082644621672726
0.5520000000000002,0.5074938625519033
0.5760000000000002,0.4942312393717764
0.6000000000000002,0.4733694449715697
0.6240000000000002,0.4682705928796228
0.6480000000000002,0.4914262256053644
0.6720000000000003,0.5325381394724438
0.6960000000000003,0.5824405805436232
0.7200000000000003,0.6347419274475606
0.7440000000000003,0.686290755778315
0.7680000000000003,0.7351803467015282
0.7920000000000004,0.7801061290831244
0.8160000000000004,0.8200874132254296
0.8400000000000004,0.8543855379407955
0.8640000000000004,0.8825460953016018
0.8880000000000005,0.9045094852545486
0.9120000000000005,0.9206958463086926
0.9360000000000005,0.931956880581741
0.9600000000000005,0.9393773295159911
0.9840000000000005,0.9440331076713568
1.008,0.9468272118533366
1.032,0.9484360115326044
1.056,0.9493271318639215
1.080000000000001,0.9498037285582706
1.104000000000001,0.9500510770743144
1.128000000000001,0.9501763463040492
1.152000000000001,0.9502385900518674
1.176000000000001,0.9502690742215261
1.2,0.9502838442991522
