net9 X,net9 Y,net09 X,net09 Y
0,0.4999485258666475,0,0.5
1.000000000000002e-06,0.504959057239136,1.000000000000002e-06,0.5050265151724471
2.000000000000005e-06,0.509985122663293,2.000000000000005e-06,0.510052831906682
3.000000000000007e-06,0.5150108258887608,3.000000000000007e-06,0.5150787517723265
4.000000000000009e-06,0.5200359270011864,4.000000000000009e-06,0.52010407635467
5.000000000000011e-06,0.5250602319814552,5.000000000000011e-06,0.5251286072625027
6.000000000000013e-06,0.5300835392435816,6.000000000000013e-06,0.5301521461359476
7.000000000000015e-06,0.5351056544886893,7.000000000000015e-06,0.5351744946542919
8.000000000000018e-06,0.5401263763966606,8.000000000000018e-06,0.5401954545438157
9.000000000000021e-06,0.5451455108635461,9.000000000000021e-06,0.5452148275856197
1.000000000000002e-05,0.550162856905673,1.000000000000002e-05,0.5502324156234507
1.100000000000003e-05,0.5551782206541392,1.100000000000003e-05,0.5552480205715247
1.200000000000003e-05,0.5601914014509154,1.200000000000003e-05,0.5602614444223462
1.300000000000003e-05,0.5652022057025465,1.300000000000003e-05,0.565272489254526
1.400000000000004e-05,0.5702104330668649,1.400000000000004e-05,0.5702809572405946
1.500000000000004e-05,0.5752158901507713,1.500000000000004e-05,0.5752866506548114
1.600000000000004e-05,0.5802183768597146,1.600000000000004e-05,0.580289371880972
1.700000000000004e-05,0.5852176998493057,1.700000000000004e-05,0.585288923420208
1.800000000000005e-05,0.5902136590725143,1.800000000000005e-05,0.5902851078987854
1.900000000000005e-05,0.5952060609485719,1.900000000000005e-05,0.5952777280758959
2.000000000000005e-05,0.6001947051816957,2.000000000000005e-05,0.6002665868514434
2.100000000000005e-05,0.6051793976242404,2.100000000000005e-05,0.605251487273826
2.200000000000006e-05,0.6101599374489985,2.200000000000006e-05,0.6102322325477105
2.300000000000006e-05,0.6151361299329983,2.300000000000006e-05,0.6152086260418017
2.400000000000006e-05,0.6201077741641337,2.400000000000006e-05,0.6201804712966057
2.500000000000007e-05,0.6250746761098191,2.500000000000007e-05,0.6251475720321847
2.600000000000007e-05,0.6300366374730808,2.600000000000007e-05,0.6301097321559069
2.700000000000007e-05,0.6349934695709435,2.700000000000007e-05,0.6350667557701871
2.800000000000007e-05,0.6399449839832931,2.800000000000007e-05,0.6400184471802209
2.900000000000008e-05,0.644891007601705,2.900000000000008e-05,0.64496461090171
3.000000000000008e-05,0.6498313749022273,3.000000000000008e-05,0.6499050516685798
3.100000000000008e-05,0.6547659430138427,3.100000000000008e-05,0.6548395744406883
3.200000000000008e-05,0.6596945833252863,3.200000000000008e-05,0.6597679844115256
3.300000000000008e-05,0.6646171932144501,3.300000000000008e-05,0.664690087015905
3.400000000000008e-05,0.6695336835402248,3.400000000000008e-05,0.6696056879376437
3.500000000000008e-05,0.6744439843820943,3.500000000000008e-05,0.6745145931172341
3.600000000000008e-05,0.6793480281770623,3.600000000000008e-05,0.6794166087595049
3.700000000000008e-05,0.6842457517934623,3.700000000000008e-05,0.6843115413412724
3.800000000000008e-05,0.6891370798268968,3.800000000000008e-05,0.6891991976189797
3.900000000000007e-05,0.6940219281784165,3.900000000000007e-05,0.6940793846363259
4.000000000000008e-05,0.6989001919846027,4.000000000000008e-05,0.6989519097318837
4.100000000000008e-05,0.7037717527958413,4.100000000000008e-05,0.7038165805467056
4.200000000000007e-05,0.7086364715172054,4.200000000000007e-05,0.7086732050319174
4.300000000000008e-05,0.7134941977461704,4.300000000000008e-05,0.7135215914563003
4.400000000000007e-05,0.7183447655471856,4.400000000000007e-05,0.71836154841386
4.500000000000007e-05,0.7231880028488002,4.500000000000007e-05,0.7231928848313832
4.600000000000007e-05,0.7280237281088104,4.600000000000007e-05,0.7280154099759808
4.700000000000007e-05,0.7328517585531343,4.700000000000007e-05,0.7328289334626172
4.800000000000008e-05,0.7376719069970908,4.800000000000008e-05,0.7376332652616278
4.900000000000007e-05,0.7424839885818666,4.900000000000007e-05,0.742428215706219
5.000000000000007e-05,0.7472878176027361,5.000000000000007e-05,0.7472135954999577
5.100000000000007e-05,0.7520832129973704,5.100000000000007e-05,0.7519892157242436
5.200000000000007e-05,0.7568699953072521,5.200000000000007e-05,0.7567548878457673
5.300000000000007e-05,0.7616479910671405,5.300000000000007e-05,0.7615104237239537
5.400000000000007e-05,0.766417030119357,5.400000000000007e-05,0.7662556356183891
5.500000000000008e-05,0.7711769492048726,5.500000000000008e-05,0.7709903361962328
5.600000000000007e-05,0.7759275896905987,5.600000000000007e-05,0.7757143385396134
5.700000000000007e-05,0.7806688004277962,5.700000000000007e-05,0.7804274561530069
5.800000000000007e-05,0.7854004361500336,5.800000000000007e-05,0.7851295029706002
5.900000000000007e-05,0.7901223595534086,5.900000000000007e-05,0.7898202933636362
6.000000000000007e-05,0.7948344402979647,6.000000000000007e-05,0.794499642147742
6.100000000000007e-05,0.7995365568136572,6.100000000000007e-05,0.79916736459024
6.200000000000007e-05,0.8042285955019596,6.200000000000007e-05,0.8038232764174406
6.300000000000007e-05,0.8089104523482101,6.300000000000007e-05,0.8084671938219168
6.400000000000006e-05,0.8135820324374619,6.400000000000006e-05,0.8130989334697616
6.500000000000006e-05,0.8182432513796873,6.500000000000006e-05,0.8177183125078241
6.600000000000007e-05,0.8228940351827221,6.600000000000007e-05,0.8223251485709298
6.700000000000006e-05,0.8275343212549466,6.700000000000006e-05,0.8269192597890789
6.800000000000007e-05,0.8321640587573642,6.800000000000007e-05,0.8315004647946269
6.900000000000006e-05,0.8367832092130613,6.900000000000006e-05,0.8360685827294445
