net1 X,net1 YRe,net1 YReImag
1,5374.522426832882,-0.5730978440056552
1.584893192461114,5374.522334468522,-0.9082988559907355
2.511886431509581,5374.522102459754,-1.439556611523114
3.981071705534974,5374.52151968015,-2.281543226712746
6.309573444801934,5374.520055804532,-3.616001344788921
10,5374.516378712574,-5.730971999757565
15.84893192461114,5374.50714227397,-9.082962920558929
25.11886431509581,5374.483941611627,-14.39546404382592
39.81071705534975,5374.425665013412,-22.81502591758929
63.09573444801936,5374.279283982578,-36.15839574940374
100.0000000000001,5373.911603361781,-57.30327968302593
158.4893192461115,5372.988281556949,-90.80399400614961
251.1886431509582,5370.670398555578,-143.8526257060169
398.1071705534976,5364.856823249173,-227.7445323177245
630.9573444801939,5350.308734828415,-359.9728391651787
1000.000000000001,5314.109831220267,-566.660836499738
1584.893192461115,5225.303326509528,-883.0934892845219
2511.886431509583,5014.789928698132,-1343.233579664665
3981.071705534978,4553.93320323158,-1933.269313633715
6309.573444801941,3699.818437665189,-2489.442331304864
10000.00000000001,2514.868700443179,-2682.108648691813
15848.93192461116,1393.477176326996,-2355.914759311645
25118.86431509584,657.004476031224,-1761.472269235132
39810.71705534979,281.9480472765242,-1199.77413566672
63095.73444801944,115.4963160841712,-781.7488761325872
100000.0000000002,46.16260174330769,-499.7526454178777
158489.3192461117,18.04889929847051,-316.9856359101145
251188.6431509586,6.773898292839187,-200.4243288664098
398107.1705534981,2.272024488895681,-126.5635478862939
630957.3444801947,0.4777073931529033,-79.88015409055976
1000000.000000002,-0.2369233604085003,-50.40336459065613
1584893.192461117,-0.5213922020138241,-31.79723017476737
2511886.431509587,-0.6344395906582257,-20.05230392866662
3981071.705534983,-0.6789188759522471,-12.63513353371855
6309573.44480195,-0.6953073987775257,-7.945198952240586
10000000.00000003,-0.6985468142099175,-4.97050813159356
15848931.92461118,-0.6917586624019265,-3.069872913037018
25118864.31509588,-0.6697681294430805,-1.836276566506009
39810717.05534985,-0.6178551719987566,-1.014405160360963
63095734.44801953,-0.5128893188451564,-0.4582367938257106
100000000.0000003,-0.3446391236766275,-0.1117369628104172
158489319.2461119,-0.1585976792302075,0.03685926120861661
251188643.1509589,-0.03702250299513318,0.04457780973564834
398107170.5534986,3.853021863781054e-05,0.01431434466589707
630957344.4801955,0.0004726828527244722,0.0021839355906633
1000000000.000004,8.282495115296634e-05,0.0007332436694842152
1584893192.461119,0.0001249148971290105,0.0002197731164834655
2511886431.50959,7.456172605207841e-05,4.116501962114474e-05
3981071705.534988,3.221890657230755e-05,-8.281749786655883e-06
6309573444.801957,7.210625525099259e-06,-1.821600018948431e-05
10000000000,-5.569921840447654e-06,-1.579752699469615e-05
