V0.p X,V0.p Y
0,-0.0001262022913715079
1.000000000000002e-08,-0.0001382010693765122
2.000000000000005e-08,-0.0001510547144397714
3.000000000000007e-08,-0.0001503088614186602
4.000000000000009e-08,-0.0001483237725164028
5.000000000000012e-08,-0.0001476771450361095
5.999999999999915e-08,-0.0001479087283828755
6.999999999999917e-08,-0.0001474633165001753
7.999999999999919e-08,-0.0001474527237739521
8.999999999999922e-08,-0.0001474347577563934
9.999999999999924e-08,-0.000147427284677386
1.099999999999993e-07,-0.0001527728349484468
1.199999999999993e-07,-0.0001823295956859838
1.300000000000003e-07,-0.0001730099749292314
1.400000000000003e-07,-0.0001722329311060813
1.500000000000004e-07,-0.0001720221994971536
1.600000000000004e-07,-0.0001725712735654379
1.700000000000004e-07,-0.0001720834651552088
1.800000000000004e-07,-0.0001720512891495762
1.900000000000005e-07,-0.0001720209930439837
2.000000000000005e-07,-0.0001720062681414462
2.100000000000005e-07,-0.0001669967628973377
2.200000000000005e-07,-0.0001739708033244789
2.300000000000006e-07,-0.0001472180213332236
2.400000000000006e-07,-0.0001475521382806735
2.500000000000006e-07,-0.0001476187663997774
2.600000000000006e-07,-0.0001478990366631859
2.700000000000006e-07,-0.0001476561719283842
2.800000000000007e-07,-0.000147573296936143
2.900000000000007e-07,-0.0001475493206134352
3.000000000000007e-07,-0.0001475188879896617
3.100000000000007e-07,-0.0001530403840745035
3.200000000000007e-07,-0.0001830671608585961
3.300000000000008e-07,-0.0001728932844119734
3.400000000000008e-07,-0.0001721587039576338
3.500000000000008e-07,-0.0001719905183895564
3.600000000000008e-07,-0.0001725163778030094
3.700000000000009e-07,-0.0001720618462507266
3.800000000000009e-07,-0.0001720296002386912
3.900000000000009e-07,-0.0001720010902427076
4.000000000000009e-07,-0.0001719840281890087
4.100000000000009e-07,-0.0001669727499167865
4.20000000000001e-07,-0.0001741647626797458
4.30000000000001e-07,-0.0001474144546461752
4.40000000000001e-07,-0.0001476510970636104
4.50000000000001e-07,-0.0001477139907639323
4.600000000000011e-07,-0.0001480096772982112
4.700000000000011e-07,-0.0001477708831214865
4.800000000000011e-07,-0.0001476891586823843
4.900000000000011e-07,-0.000147664389955103
5.000000000000011e-07,-0.0001476344029112017
5.100000000000012e-07,-0.0001526316738215922
5.200000000000013e-07,-0.0001819601165104926
5.300000000000013e-07,-0.0001728165561159027
5.400000000000013e-07,-0.0001721113270765072
5.500000000000003e-07,-0.0001720030032639989
5.600000000000013e-07,-0.0001724188726558127
5.700000000000013e-07,-0.0001720695387414736
5.800000000000013e-07,-0.000171999415732969
5.900000000000013e-07,-0.0001719825382585345
6.000000000000015e-07,-0.000171967574661933
6.100000000000015e-07,-0.000166996651105963
6.200000000000015e-07,-0.0001741527744069587
6.300000000000015e-07,-0.0001475957601613408
6.400000000000015e-07,-0.0001477394880821617
6.500000000000006e-07,-0.0001477944237933223
6.600000000000015e-07,-0.0001481175486674595
6.700000000000015e-07,-0.0001479091810605546
6.800000000000016e-07,-0.0001478382731344327
6.900000000000017e-07,-0.0001477998135759621
7.000000000000017e-07,-0.000147776383541846
7.100000000000017e-07,-0.0001518177185380061
7.200000000000017e-07,-0.000181459450614122
7.300000000000017e-07,-0.0001726987623917162
7.400000000000017e-07,-0.0001722792619259944
7.500000000000008e-07,-0.0001721135482848471
7.600000000000018e-07,-0.0001725552265328424
7.700000000000018e-07,-0.000172104924750039
7.800000000000018e-07,-0.0001720724180292526
7.900000000000019e-07,-0.0001720446346614653
8.000000000000019e-07,-0.0001720275132825179
8.100000000000019e-07,-0.0001666334719690409
8.200000000000019e-07,-0.0001730948402508134
8.300000000000019e-07,-0.0001484317265346466
8.40000000000002e-07,-0.0001477338643620337
8.50000000000001e-07,-0.0001477667837155395
8.60000000000002e-07,-0.0001481200094608203
8.70000000000002e-07,-0.0001479248705681701
8.800000000000021e-07,-0.0001478522598225888
8.900000000000021e-07,-0.0001478229662022727
9.000000000000021e-07,-0.0001477945685341733
9.100000000000022e-07,-0.0001533251376672609
9.200000000000022e-07,-0.0001797783860757907
9.300000000000022e-07,-0.0001730240398175479
9.400000000000022e-07,-0.0001725677063513057
9.500000000000013e-07,-0.0001723560053920536
9.600000000000022e-07,-0.0001727697420815278
9.700000000000024e-07,-0.0001723341723454497
9.800000000000023e-07,-0.0001722963441079399
9.900000000000024e-07,-0.0001722680024807564
1.000000000000002e-06,-0.0001722520428164129
1.010000000000002e-06,-0.0001664870365140189
1.020000000000002e-06,-0.0001701146962659598
1.030000000000002e-06,-0.000175760403848362
1.040000000000003e-06,-0.0001477157210286442
1.050000000000001e-06,-0.0001475678755818776
1.060000000000001e-06,-0.0001480040705510932
1.070000000000002e-06,-0.0001477891750842535
1.080000000000002e-06,-0.0001477123672571648
1.090000000000002e-06,-0.0001476731874314915
1.100000000000002e-06,-0.0001476504224351054
1.110000000000002e-06,-0.0001704844932802902
1.120000000000002e-06,-0.0001760859660486902
1.130000000000002e-06,-0.0001734433782125024
1.140000000000002e-06,-0.0001729443907534465
1.150000000000002e-06,-0.0001727802231059
1.160000000000001e-06,-0.0001731433947986939
1.170000000000001e-06,-0.0001727535113263987
1.180000000000001e-06,-0.0001727223601318562
1.190000000000001e-06,-0.0001726917983360706
1.200000000000001e-06,-0.0001726773836485614
1.210000000000001e-06,-0.000166178107719345
1.220000000000001e-06,-0.0001691428070786743
1.230000000000001e-06,-0.0001772427255390405
1.240000000000001e-06,-0.0001781712216461233
1.250000000000001e-06,-0.0001508508615332912
1.260000000000001e-06,-0.0001480512216986208
1.27e-06,-0.0001477818043264277
1.28e-06,-0.0001477059661073492
1.29e-06,-0.0001476662985806461
1.3e-06,-0.0001476475339094912
1.31e-06,-0.0001860536576583254
1.32e-06,-0.0001762427741457996
1.33e-06,-0.0001738377945784547
1.34e-06,-0.0001736035464799347
1.35e-06,-0.0001734253506761265
1.36e-06,-0.0001737113187020827
1.369999999999999e-06,-0.0001733616702450944
1.379999999999999e-06,-0.0001733196257413341
1.389999999999999e-06,-0.0001732923813917989
1.399999999999999e-06,-0.0001732762688860118
1.409999999999999e-06,-0.0001662533705970832
1.419999999999999e-06,-0.0001689511750350103
1.429999999999999e-06,-0.0001725278623862233
1.439999999999999e-06,-0.0001736464240105338
1.449999999999999e-06,-0.0001743900298523256
1.459999999999999e-06,-0.000175981620617884
1.469999999999999e-06,-0.0001755481083028668
1.479999999999999e-06,-0.0001755044028777829
1.489999999999998e-06,-0.0001754795437755992
1.499999999999999e-06,-0.000175464810825106
1.509999999999998e-06,-0.0001723717811830602
1.519999999999999e-06,-0.00014319771831744
1.529999999999999e-06,-0.0001457139393038135
1.539999999999999e-06,-0.000146003645160109
1.549999999999999e-06,-0.0001463569717500035
1.559999999999999e-06,-0.0001462234366243815
1.569999999999999e-06,-0.000146093664927366
1.579999999999998e-06,-0.0001460412723042871
1.589999999999998e-06,-0.0001460119698764796
1.599999999999998e-06,-0.0001459936753849006
1.609999999999998e-06,-0.0001546778496572306
1.619999999999998e-06,-0.0001501015976107786
1.629999999999998e-06,-0.0001791355254489119
1.639999999999998e-06,-0.0001728159295441904
1.649999999999998e-06,-0.0001725784378063723
1.659999999999998e-06,-0.0001732606875960755
1.669999999999998e-06,-0.0001727263924880772
1.679999999999997e-06,-0.0001726646088395891
1.689999999999997e-06,-0.0001726356210235956
1.699999999999997e-06,-0.0001726159515729748
1.709999999999997e-06,-0.0001676962534078128
1.719999999999997e-06,-0.0001460526380269841
1.729999999999997e-06,-0.0001467875031756302
1.739999999999997e-06,-0.0001470412676656394
1.749999999999997e-06,-0.0001470555505317056
1.759999999999997e-06,-0.0001473050024228843
1.769999999999997e-06,-0.0001470950365833674
1.779999999999997e-06,-0.0001469934565513672
1.789999999999996e-06,-0.0001469552076676393
1.799999999999996e-06,-0.0001469331493376213
1.809999999999996e-06,-0.0001539945397673368
1.819999999999996e-06,-0.0001682334483999449
1.829999999999996e-06,-0.0001729292664575606
1.839999999999996e-06,-0.0001722900768646672
1.849999999999996e-06,-0.0001720407998649323
1.859999999999996e-06,-0.0001725976870615903
1.869999999999996e-06,-0.0001721268769150096
1.879999999999996e-06,-0.0001720935355071873
1.889999999999995e-06,-0.0001720647357417511
1.899999999999996e-06,-0.0001720475841293633
1.909999999999997e-06,-0.0001674611271943555
1.919999999999996e-06,-0.0001752807239354725
1.929999999999995e-06,-0.000147543262961019
1.939999999999995e-06,-0.0001477457737033701
1.949999999999996e-06,-0.000147784048395292
1.959999999999996e-06,-0.0001480949898262424
1.969999999999996e-06,-0.0001478930944273553
1.979999999999996e-06,-0.0001478100005083281
1.989999999999996e-06,-0.000147781945603764
1.999999999999996e-06,-0.0001477534022359625
2.009999999999996e-06,-0.0001520014532236377
2.019999999999995e-06,-0.0001820311873348929
2.029999999999995e-06,-0.0001725512002694434
2.039999999999995e-06,-0.000172543198421374
2.049999999999995e-06,-0.0001722811413939206
2.059999999999995e-06,-0.0001726979453852317
2.069999999999995e-06,-0.0001722485984841831
2.079999999999995e-06,-0.0001722133692408844
2.089999999999995e-06,-0.0001721858097344801
2.099999999999995e-06,-0.0001721695770132392
2.109999999999995e-06,-0.0001668601282504288
2.119999999999994e-06,-0.000171548452232935
2.129999999999994e-06,-0.0001770316647983521
2.139999999999994e-06,-0.0001475869159099459
2.149999999999994e-06,-0.0001474683389815866
2.159999999999994e-06,-0.0001478677732137404
2.169999999999994e-06,-0.0001476280442540908
2.179999999999994e-06,-0.0001475917113455247
2.189999999999994e-06,-0.0001475599524219223
2.199999999999994e-06,-0.0001475371629294632
2.209999999999994e-06,-0.000220237300916161
2.219999999999994e-06,-0.0001763717813938546
2.229999999999993e-06,-0.0001738002864619575
2.239999999999993e-06,-0.0001734378030152753
2.249999999999993e-06,-0.0001732632253841368
2.259999999999993e-06,-0.0001733318661480687
2.269999999999994e-06,-0.0001732166136833896
2.279999999999993e-06,-0.0001731633016965226
2.289999999999993e-06,-0.0001731204729643482
2.299999999999993e-06,-0.0001731119952840356
2.309999999999994e-06,-0.0001663989970471895
2.319999999999993e-06,-0.000169740371234409
2.329999999999993e-06,-0.0001725890914131547
