net20 X,net20 Y
0,nan
5.000000000000012e-08,8.134998843289605e-07
1.500000000000004e-07,8.155392880868707e-07
2.500000000000006e-07,1.199998399374363
3.500000000000008e-07,6.684833792454904e-10
4.50000000000001e-07,1.199998399978488
5.499999999999913e-07,5.255497086752302e-10
6.499999999999916e-07,1.199998399436932
7.499999999999918e-07,4.960250562510279e-10
8.49999999999992e-07,1.1999983996904
9.499999999999923e-07,5.141054406276977e-10
1.050000000000002e-06,1.199998399280788
1.150000000000003e-06,6.903884698618221e-10
1.249999999999993e-06,1.19999850223544
1.349999999999993e-06,3.698255173078046e-10
1.449999999999993e-06,1.199998398520236
1.549999999999994e-06,1.199999180657387
1.649999999999994e-06,4.620290775163882e-10
1.749999999999994e-06,1.199998401045459
1.849999999999994e-06,5.004381900775498e-10
1.949999999999994e-06,1.199998399858069
2.049999999999995e-06,2.150324624395085e-10
2.149999999999995e-06,1.199998399919683
2.249999999999995e-06,5.262194067727725e-10
2.349999999999996e-06,1.199998403068497
2.449999999999996e-06,1.199999185528659
2.549999999999996e-06,4.36677184716006e-10
2.649999999999996e-06,1.199998399892584
2.749999999999997e-06,4.221449012644173e-10
2.849999999999997e-06,1.199998399333252
2.949999999999997e-06,5.524013422904569e-10
3.049999999999997e-06,1.199998397710373
3.149999999999997e-06,1.199999182039873
3.249999999999998e-06,4.208712935185054e-10
3.349999999999998e-06,1.199998399260814
3.449999999999998e-06,4.291510935477706e-10
3.549999999999998e-06,1.199998404144776
3.649999999999999e-06,1.199999183230013
3.749999999999999e-06,3.221302143847985e-10
3.849999999999999e-06,1.19999839893493
3.949999999999999e-06,4.159026198424048e-10
4.049999999999999e-06,1.199998398476412
4.15e-06,1.199999182428578
4.25e-06,5.06854073783819e-10
4.35e-06,1.199998399828293
4.450000000000001e-06,1.199999183635515
4.55e-06,4.915236836375426e-10
4.650000000000001e-06,1.199998398630129
4.750000000000001e-06,3.999367552025533e-10
4.850000000000001e-06,1.199998405672979
4.950000000000002e-06,1.199999182395685
5.050000000000002e-06,1.62632639463437e-09
5.150000000000002e-06,1.19999840293365
5.250000000000002e-06,1.199999182405631
5.350000000000003e-06,6.107359529126825e-11
5.450000000000003e-06,1.199998403980403
5.550000000000003e-06,1.199999182466491
5.650000000000004e-06,4.097988226255458e-10
5.750000000000003e-06,1.199998403961141
5.850000000000004e-06,1.199999182034826
