I0.net070 X,I0.net070 Y,net20 X,net20 Y,net3 X,net3 Y,net7 X,net7 Y
0,0.0007216158570158625,0,4.690486990542954e-07,0,0.6,0,0.6
1.000000000000002e-08,0.02165236142119033,1.000000000000002e-08,2.706829950183873e-06,1.000000000000002e-08,0.6002513273461404,1.000000000000002e-08,0.6
2.000000000000005e-08,0.1573617314106413,2.000000000000005e-08,1.706155069416865e-06,2.000000000000005e-08,0.6005026542954007,2.000000000000005e-08,0.6
3.000000000000007e-08,0.3107680842295643,3.000000000000007e-08,1.247779691591944e-06,3.000000000000007e-08,0.6007539804509012,3.000000000000007e-08,0.6
4.000000000000009e-08,0.391693235946355,4.000000000000009e-08,9.841306553888292e-07,4.000000000000009e-08,0.6010053054157638,4.000000000000009e-08,0.6
5.000000000000012e-08,0.4045952949787844,5.000000000000012e-08,8.142814679776084e-07,5.000000000000012e-08,0.6012566287931118,5.000000000000012e-08,0.6
5.999999999999915e-08,0.39541158973808,5.999999999999915e-08,4.690487600011118e-07,5.999999999999915e-08,0.6015079501860714,5.999999999999915e-08,0.6
6.999999999999917e-08,0.3942146407509586,6.999999999999917e-08,4.69048717830209e-07,6.999999999999917e-08,0.6017592691977719,6.999999999999917e-08,0.6
7.999999999999919e-08,0.3941572311777214,7.999999999999919e-08,4.690487107666172e-07,7.999999999999919e-08,0.6020105854313461,7.999999999999919e-08,0.6
8.999999999999922e-08,0.3941415916957152,8.999999999999922e-08,4.690487109046016e-07,8.999999999999922e-08,0.6022618984899315,8.999999999999922e-08,0.6
9.999999999999924e-08,0.394143234524986,9.999999999999924e-08,4.690487122446075e-07,9.999999999999924e-08,0.6025132079766705,9.999999999999924e-08,0.6
1.099999999999993e-07,0.5654139612528072,1.099999999999993e-07,2.725542136436274e-06,1.099999999999993e-07,0.6027645134947111,1.099999999999993e-07,0.6
1.199999999999993e-07,0.7156859134223862,1.199999999999993e-07,1.718143560280323e-06,1.199999999999993e-07,0.6030158146472074,1.199999999999993e-07,0.6
1.300000000000003e-07,0.7894414474229124,1.300000000000003e-07,1.25427379148073e-06,1.300000000000003e-07,0.6032671110373208,1.300000000000003e-07,0.6
1.400000000000003e-07,0.8027866856652009,1.400000000000003e-07,9.888402454454544e-07,1.400000000000003e-07,0.60351840226822,1.400000000000003e-07,0.6
1.500000000000004e-07,0.8056344570371838,1.500000000000004e-07,8.163869410511325e-07,1.500000000000004e-07,0.6037696879430816,1.500000000000004e-07,0.6
1.600000000000004e-07,0.7960183569410396,1.600000000000004e-07,4.689824995865137e-07,1.600000000000004e-07,0.6040209676650915,1.600000000000004e-07,0.6
1.700000000000004e-07,0.7941377754999911,1.700000000000004e-07,4.690350589214597e-07,1.700000000000004e-07,0.6042722410374446,1.700000000000004e-07,0.6
1.800000000000004e-07,0.7941038333991787,1.800000000000004e-07,4.690421416764698e-07,1.800000000000004e-07,0.6045235076633459,1.800000000000004e-07,0.6
1.900000000000005e-07,0.7940728246810792,1.900000000000005e-07,4.690444314718796e-07,1.900000000000005e-07,0.6047747671460112,1.900000000000005e-07,0.6
2.000000000000005e-07,0.7941008002425884,2.000000000000005e-07,4.690462308289353e-07,2.000000000000005e-07,0.6050260190886675,2.000000000000005e-07,0.6
2.100000000000005e-07,0.6462669801128778,2.100000000000005e-07,1.199996556674603,2.100000000000005e-07,0.6052772630945535,2.100000000000005e-07,0.6
2.200000000000005e-07,0.4892638622204316,2.200000000000005e-07,1.199997568253421,2.200000000000005e-07,0.6055284987669208,2.200000000000005e-07,0.6
2.300000000000006e-07,0.4232018544209224,2.300000000000006e-07,1.199998004970593,2.300000000000006e-07,0.605779725709034,2.300000000000006e-07,0.6
2.400000000000006e-07,0.4116122150948355,2.400000000000006e-07,1.199998245223625,2.400000000000006e-07,0.6060309435241713,2.400000000000006e-07,0.6
2.500000000000006e-07,0.4095581001845855,2.500000000000006e-07,1.199998400693492,2.500000000000006e-07,0.6062821518156256,2.500000000000006e-07,0.6
2.600000000000006e-07,0.3975647199299877,2.600000000000006e-07,1.199995671558695,2.600000000000006e-07,0.6065333501867047,2.600000000000006e-07,0.6
2.700000000000006e-07,0.3972022448739922,2.700000000000006e-07,1.199997552347031,2.700000000000006e-07,0.6067845382407321,2.700000000000006e-07,0.6
2.800000000000007e-07,0.3971963772396565,2.800000000000007e-07,1.199998211279802,2.800000000000007e-07,0.6070357155810475,2.800000000000007e-07,0.6
2.900000000000007e-07,0.3972241477332965,2.900000000000007e-07,1.19999833283349,2.900000000000007e-07,0.6072868818110078,2.900000000000007e-07,0.6
3.000000000000007e-07,0.3972197567812777,3.000000000000007e-07,1.199998553673869,3.000000000000007e-07,0.6075380365339869,3.000000000000007e-07,0.6
3.100000000000007e-07,0.5675922390866197,3.100000000000007e-07,-1.109802505698494e-08,3.100000000000007e-07,0.6077891793533775,3.100000000000007e-07,0.6
3.200000000000007e-07,0.7185677071688173,3.200000000000007e-07,-4.633015862301021e-10,3.200000000000007e-07,0.6080403098725906,3.200000000000007e-07,0.6
3.300000000000008e-07,0.7965439631869995,3.300000000000008e-07,-1.525256841720652e-10,3.300000000000008e-07,0.6082914276950571,3.300000000000008e-07,0.6
3.400000000000008e-07,0.8108631744524448,3.400000000000008e-07,3.904700739764673e-10,3.400000000000008e-07,0.6085425324242274,3.400000000000008e-07,0.6
3.500000000000008e-07,0.8139158141868126,3.500000000000008e-07,4.835125920321593e-10,3.500000000000008e-07,0.6087936236635729,3.500000000000008e-07,0.6
3.600000000000008e-07,0.8039722139182268,3.600000000000008e-07,4.689472101375259e-07,3.600000000000008e-07,0.6090447010165865,3.600000000000008e-07,0.6
3.700000000000009e-07,0.8024906722554999,3.700000000000009e-07,4.690350185613314e-07,3.700000000000009e-07,0.6092957640867825,3.700000000000009e-07,0.6
3.800000000000009e-07,0.8024422134420217,3.800000000000009e-07,4.69042046751374e-07,3.800000000000009e-07,0.6095468124776983,3.800000000000009e-07,0.6
3.900000000000009e-07,0.8024508254110327,3.900000000000009e-07,4.69044636404622e-07,3.900000000000009e-07,0.6097978457928941,3.900000000000009e-07,0.6
4.000000000000009e-07,0.8024441061779353,4.000000000000009e-07,4.690459508944419e-07,4.000000000000009e-07,0.6100488636359539,4.000000000000009e-07,0.6
4.100000000000009e-07,0.6545614738530634,4.100000000000009e-07,1.199996549128556,4.100000000000009e-07,0.6102998656104864,4.100000000000009e-07,0.6
4.20000000000001e-07,0.4983785935245504,4.20000000000001e-07,1.199997568899539,4.20000000000001e-07,0.6105508513201253,4.20000000000001e-07,0.6
4.30000000000001e-07,0.435898476602198,4.30000000000001e-07,1.199998002878393,4.30000000000001e-07,0.6108018203685297,4.30000000000001e-07,0.6
4.40000000000001e-07,0.4249488222271551,4.40000000000001e-07,1.199998244626754,4.40000000000001e-07,0.6110527723593854,4.40000000000001e-07,0.6
4.50000000000001e-07,0.4229408643129022,4.50000000000001e-07,1.199998400095418,4.50000000000001e-07,0.6113037068964049,4.50000000000001e-07,0.6
4.600000000000011e-07,0.4109470931207127,4.600000000000011e-07,1.199995672267095,4.600000000000011e-07,0.6115546235833282,4.600000000000011e-07,0.6
4.700000000000011e-07,0.4105672633314806,4.700000000000011e-07,1.199997554199137,4.700000000000011e-07,0.6118055220239238,4.700000000000011e-07,0.6
4.800000000000011e-07,0.4105666611190295,4.800000000000011e-07,1.199998211565393,4.800000000000011e-07,0.6120564018219887,4.800000000000011e-07,0.6
4.900000000000011e-07,0.4105959914371685,4.900000000000011e-07,1.199998332837668,4.900000000000011e-07,0.6123072625813494,4.900000000000011e-07,0.6
5.000000000000011e-07,0.4105908571983484,5.000000000000011e-07,1.199998553740445,5.000000000000011e-07,0.6125581039058626,5.000000000000011e-07,0.6
5.100000000000012e-07,0.5813194813220948,5.100000000000012e-07,-1.110034202227422e-08,5.100000000000012e-07,0.6128089253994157,5.100000000000012e-07,0.6
5.200000000000013e-07,0.733001259070903,5.200000000000013e-07,2.156012789254071e-11,5.200000000000013e-07,0.6130597266659271,5.200000000000013e-07,0.6
5.300000000000013e-07,0.8143697455167749,5.300000000000013e-07,9.347126372364939e-10,5.300000000000013e-07,0.6133105073093476,5.300000000000013e-07,0.6
5.400000000000013e-07,0.8290585526480917,5.400000000000013e-07,5.008092321931191e-10,5.400000000000013e-07,0.6135612669336601,5.400000000000013e-07,0.6
5.500000000000003e-07,0.8322893661979267,5.500000000000003e-07,3.594976184940143e-10,5.500000000000003e-07,0.6138120051428811,5.500000000000003e-07,0.6
5.600000000000013e-07,0.821775474936396,5.600000000000013e-07,4.689348364741844e-07,5.600000000000013e-07,0.6140627215410608,5.600000000000013e-07,0.6
5.700000000000013e-07,0.8206467330429498,5.700000000000013e-07,4.690325332933595e-07,5.700000000000013e-07,0.6143134157322835,5.700000000000013e-07,0.6
5.800000000000013e-07,0.8208891814914522,5.800000000000013e-07,4.690413467835397e-07,5.800000000000013e-07,0.6145640873206691,5.800000000000013e-07,0.6
5.900000000000013e-07,0.8209004294271152,5.900000000000013e-07,4.690445408747858e-07,5.900000000000013e-07,0.6148147359103729,5.900000000000013e-07,0.6
