/net21 X,/net21 Y,/net13 X,/net13 Y
-0.6,0.002763655603709133,-0.6,0.6
-0.576,0.002774060793650825,-0.576,0.6
-0.5519999999999999,0.002785317667549633,-0.5519999999999999,0.6
-0.5279999999999999,0.002797436753266398,-0.5279999999999999,0.6
-0.5039999999999999,0.002810432605372029,-0.5039999999999999,0.6
-0.4799999999999999,0.002824324437873411,-0.4799999999999999,0.6
-0.4559999999999998,0.002839137155586524,-0.4559999999999998,0.6
-0.4319999999999998,0.002854902392575248,-0.4319999999999998,0.6
-0.4079999999999998,0.002871659650938727,-0.4079999999999998,0.6
-0.3839999999999998,0.002889457657927932,-0.3839999999999998,0.6
-0.3599999999999998,0.002908356111052786,-0.3599999999999998,0.6
-0.3359999999999997,0.002928428087061682,-0.3359999999999997,0.6
-0.3119999999999997,0.002949763602959003,-0.3119999999999997,0.6
-0.2879999999999997,0.00297247522876383,-0.2879999999999997,0.6
-0.2639999999999997,0.00299670742313513,-0.2639999999999997,0.6
-0.2399999999999997,0.003022652668060571,-0.2399999999999997,0.6
-0.2159999999999997,0.003050580037158229,-0.2159999999999997,0.6
-0.1919999999999997,0.003080886777566147,-0.1919999999999997,0.6
-0.1679999999999997,0.003114194309341089,-0.1679999999999997,0.6
-0.1439999999999997,0.003151537479871306,-0.1439999999999997,0.6
-0.1199999999999997,0.003194776497914972,-0.1199999999999997,0.6
-0.09599999999999972,0.003247646665943906,-0.09599999999999972,0.6
-0.07199999999999973,0.003319226826333203,-0.07199999999999973,0.6
-0.04799999999999973,0.00344629480753697,-0.04799999999999973,0.6
-0.02399999999999973,0.004674075436848001,-0.02399999999999973,0.6
0,1.10123881747644,0,0.6
0.024,1.199907178433368,0.024,0.6
0.048,1.199959656006677,0.048,0.6
0.07200000000000001,1.19997329975414,0.07200000000000001,0.6
0.096,1.199979194690944,0.096,0.6
0.12,1.199982222958336,0.12,0.6
0.144,1.199983896566513,0.144,0.6
0.168,1.19998484973318,0.168,0.6
0.192,1.199985386172462,0.192,0.6
0.216,1.199985686301912,0.216,0.6
0.24,1.199985850375438,0.24,0.6
0.264,1.199985937794009,0.264,0.6
0.288,1.199985983238305,0.288,0.6
0.312,1.199986006360369,0.312,0.6
0.336,1.199986017919263,0.336,0.6
0.36,1.199986023617778,0.36,0.6
0.3840000000000001,1.199986026397121,0.3840000000000001,0.6
0.4080000000000001,1.199986027741601,0.4080000000000001,0.6
0.4320000000000001,1.1999860283879,0.4320000000000001,0.6
0.4560000000000001,1.199986028697066,0.4560000000000001,0.6
0.4800000000000001,1.199986028844392,0.4800000000000001,0.6
0.5040000000000001,1.199986028914379,0.5040000000000001,0.6
0.5280000000000001,1.19998602894754,0.5280000000000001,0.6
0.5520000000000002,1.199986028963218,0.5520000000000002,0.6
0.5760000000000002,1.199986028970616,0.5760000000000002,0.6
0.6,1.199986028974102,0.6,0.6
