output noise; V**2 / Hz X,output noise; V**2 / Hz Y
100,2.970163782253259e-08
102.3292992280754,2.905655959673743e-08
104.7128548050899,2.84257443236777e-08
107.1519305237606,2.780887073524664e-08
109.6478196143185,2.720562493828598e-08
112.2018454301963,2.66157002420751e-08
114.8153621496882,2.603879698996622e-08
117.4897554939529,2.547462239504923e-08
120.2264434617412,2.492289037962177e-08
123.0268770812381,2.438332141859624e-08
125.8925411794167,2.385564238655086e-08
128.8249551693133,2.33395864084912e-08
131.8256738556406,2.283489271401001e-08
134.8962882591653,2.234130649507562e-08
138.0384264602884,2.185857876710103e-08
141.2537544622753,2.138646623335253e-08
144.5439770745926,2.092473115249761e-08
147.9108388168206,2.047314120939443e-08
151.3561248436207,2.003146938888366e-08
154.881661891248,1.95994938525471e-08
158.4893192461112,1.917699781845855e-08
162.1810097358928,1.876376944370977e-08
165.9586907437559,1.835960170974917e-08
169.8243652461743,1.796429231041037e-08
173.7800828749374,1.757764354261215e-08
177.8279410038921,1.719946219964102e-08
181.9700858609981,1.682955946690402e-08
186.2087136662865,1.646775082021901e-08
190.5460717963245,1.611385592642993e-08
194.9844599758043,1.57676985464271e-08
199.5262314968877,1.542910644040797e-08
204.1737944669526,1.509791127539771e-08
208.9296130854036,1.477394853493873e-08
213.7962089502229,1.445705743091205e-08
218.7761623949549,1.414708081741219e-08
223.8721138568336,1.384386510668626e-08
229.0867652767769,1.354726018701462e-08
234.4228815319918,1.325711934253707e-08
239.8832919019486,1.297329917496561e-08
245.4708915685026,1.269565952713783e-08
251.1886431509576,1.242406340833155e-08
257.0395782768859,1.215837692139209e-08
263.0267991895378,1.189846919151745e-08
269.1534803926911,1.164421229673361e-08
275.4228703338161,1.139548119999255e-08
281.8382931264449,1.115215368286966e-08
288.40315031266,1.091411028082889e-08
295.120922666638,1.068123421994541e-08
301.9951720402011,1.045341135516248e-08
309.0295432513585,1.023053010999287e-08
316.2277660168373,1.001248141758692e-08
323.5936569296276,9.799158663219851e-09
331.1311214825905,9.590457628108274e-09
338.8441561392019,9.386276434528252e-09
346.736850452531,9.186515492224631e-09
354.8133892335748,8.991077446062111e-09
363.0780547701006,8.79986712491399e-09
371.5352290971718,8.612791491726581e-09
380.1893963205604,8.429759594742009e-09
389.0451449942798,8.25068251989291e-09
398.1071705534964,8.075473344240039e-09
407.3802778041119,7.904047090555297e-09
416.8693834703345,7.736320682938034e-09
426.5795188015917,7.57221290344595e-09
436.515832240165,7.411644349768728e-09
446.6835921509621,7.254537393850926e-09
457.088189614874,7.100816141487294e-09
467.7351412871971,6.95040639289712e-09
478.6300923226372,6.803235604115073e-09
489.778819368445,6.659232849367504e-09
501.187233627271,6.518328784297284e-09
512.8613839913636,6.380455610018542e-09
524.8074602497713,6.245547038024404e-09
537.0317963702514,6.113538255894892e-09
549.5408738576232,5.984365893805089e-09
562.3413251903477,5.857967991818185e-09
575.4399373371555,5.734283967910602e-09
588.8436553555874,5.613254586739272e-09
602.5595860743562,5.49482192915621e-09
616.5950018614806,5.378929362411222e-09
630.9573444801916,5.265521511020033e-09
645.6542290346539,5.154544228339339e-09
660.6934480075944,5.045944568782023e-09
676.0829753919801,4.939670760671864e-09
691.8309709189348,4.83567217971905e-09
707.9457843841361,4.73389932311157e-09
724.4359600749882,4.634303784212042e-09
741.3102413009155,4.536838227829889e-09
758.5775750291817,4.441456366034976e-09
776.2471166286896,4.348112934584499e-09
794.3282347242792,4.256763669832078e-09
812.8305161640969,4.167365286209232e-09
831.7637711026687,4.07987545420075e-09
851.1380382023741,3.994252778840677e-09
870.9635899560782,3.91045677868125e-09
891.250938133743,3.828447865266295e-09
912.0108393559071,3.748187323057144e-09
933.2543007969883,3.669637289833925e-09
954.9925860214331,3.592760737526275e-09
977.2372209558077,3.517521453503709e-09
999.9999999999969,3.443884022279921e-09
1023.292992280751,3.37181380763287e-09
1047.128548050896,3.301276935154314e-09
1071.519305237603,3.232240275164064e-09
1096.478196143182,3.164671426052721e-09
1122.01845430196,3.098538697968379e-09
1148.153621496879,3.033811096904396e-09
1174.897554939526,2.970458309129846e-09
1202.264434617409,2.908450685988612e-09
1230.268770812377,2.847759229034556e-09
1258.925411794163,2.788355575509135e-09
1288.24955169313,2.73021198415273e-09
1318.256738556403,2.673301321334937e-09
1348.962882591649,2.617597047497831e-09
1380.38426460288,2.563073203914361e-09
1412.537544622749,2.509704399742829e-09
1445.439770745922,2.457465799372201e-09
1479.108388168202,2.406333110064529e-09
1513.561248436203,2.356282569868158e-09
1548.816618912476,2.307290935808476e-09
1584.893192461108,2.259335472348874e-09
1621.810097358924,2.212393940107699e-09
1659.586907437555,2.16644458483251e-09
1698.243652461738,2.121466126635594e-09
1737.800828749369,2.077437749447318e-09
1778.279410038916,2.034339090734914e-09
1819.700858609976,1.992150231434332e-09
1862.08713666286,1.950851686120522e-09
1905.46071796324,1.910424393402708e-09
1949.844599758038,1.870849706517322e-09
1995.262314968872,1.832109384152311e-09
2041.737944669521,1.794185581480521e-09
2089.296130854031,1.757060841368039e-09
2137.962089502224,1.720718085817487e-09
2187.761623949544,1.6851406075767e-09
2238.72113856833,1.650312061948177e-09
2290.867652767764,1.616216458778799e-09
2344.228815319912,1.582838154634039e-09
2398.83291901948,1.550161845141403e-09
2454.70891568502,1.518172557512647e-09
2511.88643150957,1.486855643232396e-09
2570.395782768853,1.456196770903509e-09
2630.267991895371,1.426181919265222e-09
2691.534803926904,1.39679737036373e-09
2754.228703338154,1.368029702864201e-09
2818.382931264442,1.339865785530956e-09
2884.031503126593,1.312292770843196e-09
2951.209226666373,1.2852980887543e-09
3019.951720402003,1.25886944059427e-09
3090.295432513577,1.23299479310374e-09
3162.277660168365,1.207662372606807e-09
3235.936569296268,1.18286065930883e-09
3311.311214825896,1.158578381728197e-09
3388.44156139201,1.134804511244681e-09
3467.3685045253,1.111528256772602e-09
3548.133892335738,1.088739059558962e-09
3630.780547700997,1.066426588085039e-09
3715.352290971708,1.044580733093516e-09
3801.893963205594,1.023191602720311e-09
3890.451449942787,1.002249517733726e-09
3981.071705534953,9.817450068857193e-10
4073.802778041108,9.616688023597737e-10
4168.693834703334,9.420118353230386e-10
4265.795188015905,9.227652315790095e-10
4365.158322401638,9.039203073122795e-10
4466.835921509609,8.854685649338984e-10
4570.881896148728,8.674016890076766e-10
4677.351412871959,8.497115422927869e-10
4786.300923226359,8.323901618307465e-10
4897.788193684437,8.154297551618069e-10
5011.872336272697,7.988226966037518e-10
5128.613839913622,7.825615236143484e-10
5248.074602497698,7.666389332388092e-10
5370.317963702499,7.510477786345312e-10
5495.408738576216,7.357810656707777e-10
5623.41325190346,7.208319496040683e-10
5754.399373371538,7.061937318290266e-10
5888.436553555857,6.918598567001467e-10
6025.595860743544,6.778239084206834e-10
6165.950018614787,6.640796080033767e-10
6309.573444801897,6.506208102994362e-10
6456.542290346518,6.374415010869515e-10
6606.934480075922,6.245357942312989e-10
6760.829753919778,6.118979288998833e-10
6918.309709189324,5.995222668455269e-10
7079.457843841337,5.874032897440034e-10
7244.359600749857,5.755355965940859e-10
7413.102413009131,5.639139011704984e-10
7585.775750291792,5.525330295371396e-10
7762.47116628687,5.413879176117209e-10
7943.282347242766,5.304736087849567e-10
8128.305161640942,5.197852515919803e-10
8317.637711026659,5.093180974329054e-10
8511.380382023712,4.990674983483234e-10
8709.635899560752,4.890289048359535e-10
8912.509381337399,4.791978637210341e-10
9120.10839355904,4.695700160705291e-10
9332.543007969851,4.60141095153368e-10
9549.925860214298,4.509069244450699e-10
9772.372209558043,4.418634156772221e-10
9999.999999999935,4.33006566925748e-10
10232.92992280747,4.24332460744445e-10
10471.28548050893,4.158372623371034e-10
10715.19305237599,4.075172177740936e-10
10964.78196143178,3.993686522359475e-10
