net9 X,net9 Y,net21 X,net21 Y
0,0.6,0,0.6013767835414203
1.000000000000002e-12,0.7,1.000000000000002e-12,0.6023399436577733
1.235958584000003e-12,0.7,1.235958584000003e-12,0.6024474945407351
1.707875752000004e-12,0.7,1.707875752000004e-12,0.6025399251995301
2.101244400000005e-12,0.7,2.101244400000005e-12,0.6025211022788062
2.887981697000007e-12,0.7,2.887981697000007e-12,0.6024984503837248
3.730187919000009e-12,0.7,3.730187919000009e-12,0.60247379981551
5.414600363000013e-12,0.7,5.414600363000013e-12,0.6024260491419156
8.78342525100002e-12,0.7,8.78342525100002e-12,0.6023333776596457
1.548939447300004e-11,0.7,1.548939447300004e-11,0.6021619477387103
2.890133291700007e-11,0.7,2.890133291700007e-11,0.6018685834567247
5.572520980500013e-11,0.7,5.572520980500013e-11,0.6014718239443074
1.093729635810003e-10,0.7,1.093729635810003e-10,0.6013697363906794
2.093729635810005e-10,0.7,2.093729635810005e-10,0.6032821275177241
3.093729635810007e-10,0.7,3.093729635810007e-10,0.6073659474064377
4.093729635810009e-10,0.7,4.093729635810009e-10,0.6129094511179889
5.093729635810012e-10,0.7,5.093729635810012e-10,0.619304980625401
6.093729635810014e-10,0.7,6.093729635810014e-10,0.6261069089928007
7.093729635810016e-10,0.7,7.093729635810016e-10,0.6330341933981857
8.093729635810019e-10,0.7,8.093729635810019e-10,0.6399374812222113
9.093729635810022e-10,0.7,9.093729635810022e-10,0.6467547812027776
1.009372963581002e-09,0.7,1.009372963581002e-09,0.6534717619964939
1.109372963581003e-09,0.7,1.109372963581003e-09,0.660092361012124
1.209372963581003e-09,0.7,1.209372963581003e-09,0.6666205107554199
1.309372963581003e-09,0.7,1.309372963581003e-09,0.6730502575776514
1.409372963581003e-09,0.7,1.409372963581003e-09,0.6793609548062494
1.509372963581004e-09,0.7,1.509372963581004e-09,0.6855152339877523
1.609372963581004e-09,0.7,1.609372963581004e-09,0.6914580787893532
1.709372963581004e-09,0.7,1.709372963581004e-09,0.697116219149733
1.809372963581004e-09,0.7,1.809372963581004e-09,0.7023977987757641
1.909372963581005e-09,0.7,1.909372963581005e-09,0.7071923137165239
2.009372963581005e-09,0.7,2.009372963581005e-09,0.7113718096378689
2.109372963581005e-09,0.7,2.109372963581005e-09,0.714793725683518
2.209372963581005e-09,0.7,2.209372963581005e-09,0.7173069359017098
2.309372963581005e-09,0.7,2.309372963581005e-09,0.7187614884835636
2.409372963581006e-09,0.7,2.409372963581006e-09,0.7190233640815946
2.509372963581006e-09,0.7,2.509372963581006e-09,0.717993885824769
2.609372963581006e-09,0.7,2.609372963581006e-09,0.7156331915181705
2.709372963581006e-09,0.7,2.709372963581006e-09,0.7119845625941086
2.809372963581006e-09,0.7,2.809372963581006e-09,0.7071954479860822
2.909372963581007e-09,0.7,2.909372963581007e-09,0.7015285703895039
3.009372963581007e-09,0.7,3.009372963581007e-09,0.6953577025079195
3.109372963581007e-09,0.7,3.109372963581007e-09,0.6891400004261362
3.209372963581008e-09,0.7,3.209372963581008e-09,0.6833876002845618
3.309372963581008e-09,0.7,3.309372963581008e-09,0.6785671149449658
3.409372963581008e-09,0.7,3.409372963581008e-09,0.6750414446296964
3.509372963581008e-09,0.7,3.509372963581008e-09,0.6730149232225598
3.609372963581009e-09,0.7,3.609372963581009e-09,0.6725162501904254
3.709372963581009e-09,0.7,3.709372963581009e-09,0.6734257294484948
3.809372963581009e-09,0.7,3.809372963581009e-09,0.6755311308272212
3.909372963581009e-09,0.7,3.909372963581009e-09,0.6785676008562089
4.00937296358101e-09,0.7,4.00937296358101e-09,0.6822728919991428
4.10937296358101e-09,0.7,4.10937296358101e-09,0.6864116414365826
4.20937296358101e-09,0.7,4.20937296358101e-09,0.6907827887808703
4.30937296358101e-09,0.7,4.30937296358101e-09,0.6952154025612601
4.40937296358101e-09,0.7,4.40937296358101e-09,0.6995600165779561
4.509372963581011e-09,0.7,4.509372963581011e-09,0.7036794018976289
4.609372963581011e-09,0.7,4.609372963581011e-09,0.7074408949860349
4.709372963581011e-09,0.7,4.709372963581011e-09,0.7107121062046529
4.809372963581011e-09,0.7,4.809372963581011e-09,0.7133597448465389
4.909372963581011e-09,0.7,4.909372963581011e-09,0.7152531199030184
5.009372963581012e-09,0.7,5.009372963581012e-09,0.7162711903767719
5.109372963581012e-09,0.7,5.109372963581012e-09,0.7163145238811935
5.209372963581012e-09,0.7,5.209372963581012e-09,0.7153198788235184
5.309372963581012e-09,0.7,5.309372963581012e-09,0.7132774374917409
5.409372963581012e-09,0.7,5.409372963581012e-09,0.7102464290454475
5.509372963581013e-09,0.7,5.509372963581013e-09,0.7063672408193916
5.609372963581013e-09,0.7,5.609372963581013e-09,0.701863946038022
5.709372963581013e-09,0.7,5.709372963581013e-09,0.6970449957015531
5.809372963581013e-09,0.7,5.809372963581013e-09,0.6922753860100268
5.909372963581014e-09,0.7,5.909372963581014e-09,0.6879282227349806
6.009372963581014e-09,0.7,6.009372963581014e-09,0.6843432193315087
6.109372963581015e-09,0.7,6.109372963581015e-09,0.681778155149972
6.209372963581015e-09,0.7,6.209372963581015e-09,0.6803760914693719
6.309372963581015e-09,0.7,6.309372963581015e-09,0.6801576382570488
6.409372963581015e-09,0.7,6.409372963581015e-09,0.6810373378891876
6.509372963581016e-09,0.7,6.509372963581016e-09,0.6828605480755716
6.609372963581016e-09,0.7,6.609372963581016e-09,0.6854395995112442
6.709372963581016e-09,0.7,6.709372963581016e-09,0.6885694147876541
6.809372963581016e-09,0.7,6.809372963581016e-09,0.6920551078839834
6.909372963581016e-09,0.7,6.909372963581016e-09,0.6957198102860989
7.009372963581017e-09,0.7,7.009372963581017e-09,0.6994045619048268
7.109372963581017e-09,0.7,7.109372963581017e-09,0.7029648513503122
7.209372963581017e-09,0.7,7.209372963581017e-09,0.7062655988675512
7.309372963581017e-09,0.7,7.309372963581017e-09,0.709178206404403
7.409372963581017e-09,0.7,7.409372963581017e-09,0.711578927887654
7.509372963581017e-09,0.7,7.509372963581017e-09,0.713351415927673
7.609372963581018e-09,0.7,7.609372963581018e-09,0.7143913123156328
7.709372963581019e-09,0.7,7.709372963581019e-09,0.7146153066286571
7.809372963581018e-09,0.7,7.809372963581018e-09,0.7139713595835849
7.909372963581019e-09,0.7,7.909372963581019e-09,0.7124515589903767
8.009372963581018e-09,0.7,8.009372963581018e-09,0.7101028925196524
