/net21 X,/net21 YRe,/net21 YReImag
1,0.06312752508879126,-3.338387833491068e-08
1.023292992280754,0.06312752508879033,-3.416148875526685e-08
1.047128548050899,0.06312752508878934,-3.495721204914172e-08
1.071519305237606,0.06312752508878834,-3.577147011955842e-08
1.096478196143185,0.06312752508878725,-3.660469469692376e-08
1.122018454301963,0.06312752508878613,-3.745732756793779e-08
1.148153621496882,0.06312752508878496,-3.832982080983462e-08
1.174897554939529,0.06312752508878372,-3.922263703007998e-08
1.202264434617413,0.06312752508878243,-4.013624961165153e-08
1.230268770812381,0.06312752508878108,-4.107114296403311e-08
1.258925411794167,0.06312752508877965,-4.202781278005495e-08
1.288249551693134,0.06312752508877818,-4.300676629871667e-08
1.318256738556407,0.06312752508877663,-4.400852257413168e-08
1.348962882591653,0.06312752508877501,-4.503361275073699e-08
1.380384264602885,0.06312752508877331,-4.608258034491292e-08
1.412537544622754,0.06312752508877152,-4.715598153316266e-08
1.445439770745927,0.06312752508876965,-4.825438544700437e-08
1.479108388168207,0.06312752508876769,-4.937837447473229e-08
1.513561248436208,0.06312752508876558,-5.052854457020646e-08
1.548816618912481,0.06312752508876346,-5.170550556883599e-08
1.584893192461113,0.0631275250887612,-5.290988151092124e-08
1.621810097358929,0.06312752508875884,-5.414231097252842e-08
1.65958690743756,0.06312752508875639,-5.54034474040713e-08
1.698243652461743,0.0631275250887538,-5.669395947677886e-08
1.737800828749374,0.06312752508875112,-5.801453143723396e-08
1.778279410038922,0.06312752508874783,-5.936586347016952e-08
1.819700858609982,0.06312752508874485,-6.074867206971731e-08
1.862087136662866,0.0631275250887418,-6.216369041929981e-08
1.905460717963246,0.06312752508873855,-6.361166878037603e-08
1.949844599758044,0.06312752508873512,-6.509337489023924e-08
1.995262314968878,0.06312752508873158,-6.660959436908145e-08
2.041737944669527,0.06312752508872788,-6.816113113654007e-08
2.089296130854037,0.06312752508872396,-6.974880783794611e-08
2.13796208950223,0.06312752508871987,-7.137346628050196e-08
2.18776162394955,0.06312752508871558,-7.303596787961861e-08
2.238721138568337,0.06312752508871114,-7.473719411564997e-08
2.29086765276777,0.06312752508870645,-7.647804700126445e-08
2.344228815319919,0.06312752508870152,-7.825944955970528e-08
2.398832919019488,0.06312752508869642,-8.008234631418816e-08
2.454708915685027,0.06312752508869103,-8.194770378870128e-08
2.511886431509577,0.0631275250886854,-8.385651102046843e-08
2.57039578276886,0.0631275250886795,-8.580978008435e-08
2.630267991895378,0.06312752508867331,-8.780854662945824e-08
2.691534803926912,0.06312752508866684,-8.985387042827194e-08
2.754228703338163,0.0631275250886601,-9.194683593854237e-08
2.81838293126445,0.06312752508865298,-9.408855287828639e-08
2.884031503126602,0.06312752508864555,-9.628015681417479e-08
2.951209226666381,0.06312752508863777,-9.852280976362339e-08
3.019951720402012,0.06312752508862965,-1.008177008109109e-07
3.090295432513586,0.06312752508862066,-1.03166046737646e-07
3.162277660168374,0.06312752508861173,-1.05569092667925e-07
3.235936569296277,0.06312752508860235,-1.080281127285068e-07
3.311311214825905,0.06312752508859258,-1.105444107243769e-07
3.38844156139202,0.06312752508858227,-1.131193208300391e-07
3.46736850452531,0.06312752508857152,-1.157542082969149e-07
3.548133892335748,0.06312752508856029,-1.184504701772157e-07
3.630780547701007,0.06312752508854851,-1.212095360646796e-07
