net1 X,net1 Y,net11 X,net11 Y,I0.\1  X,I0.\1  Y
0,0.6,0,1.194182526375007e-05,0,1.181916272814158e-09
5.859059935973013e-09,0.6004417626717302,5.859059935973013e-09,0.0001104299157116446,5.859059935973013e-09,-4.758209634326625e-09
1.107643025348203e-08,0.6008351428962284,1.107643025348203e-08,0.0001229380252829599,1.107643025348203e-08,-3.854525358063298e-09
1.845434434950104e-08,0.601391423536076,1.845434434950104e-08,0.000142323669677446,1.845434434950104e-08,-1.958407003510155e-09
2.845434434950107e-08,0.6021454024484346,2.845434434950107e-08,0.0001892205014621011,2.845434434950107e-08,2.80035083749158e-09
3.845434434950109e-08,0.6028993779729099,3.845434434950109e-08,0.0002804432861252227,3.845434434950109e-08,1.198353211262613e-08
4.845434434950112e-08,0.6036533489188717,4.845434434950112e-08,0.0004518842974659595,4.845434434950112e-08,2.936672509942951e-08
5.845434434950114e-08,0.6044073140956968,5.845434434950114e-08,0.0007682980526914485,5.845434434950114e-08,6.137335341240818e-08
6.845434434950116e-08,0.6051612723127714,6.845434434950116e-08,0.001336471302197737,6.845434434950116e-08,1.18929676743504e-07
7.845434434950119e-08,0.6059152223794926,7.845434434950119e-08,0.002327709316625258,7.845434434950119e-08,2.192218710089001e-07
8.845434434950121e-08,0.6066691631052702,8.845434434950121e-08,0.003989427179594892,8.845434434950121e-08,3.872988758268992e-07
9.845434434950123e-08,0.6074230932995288,9.845434434950123e-08,0.006635335907779878,9.845434434950123e-08,6.545556274023694e-07
1.084543443495013e-07,0.60817701177171,1.084543443495013e-07,0.01058512999284313,1.084543443495013e-07,1.053012012348113e-06
1.184543443495013e-07,0.6089309173312735,1.184543443495013e-07,0.01607298892401413,1.184543443495013e-07,1.605725841723996e-06
1.284543443495013e-07,0.6096848087876995,1.284543443495013e-07,0.02317655535681312,1.284543443495013e-07,2.320248249103958e-06
1.384543443495013e-07,0.6104386849504904,1.384543443495013e-07,0.03182074818122028,1.384543443495013e-07,3.188828751163342e-06
1.484543443495013e-07,0.6111925446291729,1.484543443495013e-07,0.04183482846596388,1.484543443495013e-07,4.194572907837194e-06
1.584543443495014e-07,0.6119463866332998,1.584543443495014e-07,0.05301594043471828,1.584543443495014e-07,5.317370956088481e-06
1.684543443495014e-07,0.6127002097724515,1.684543443495014e-07,0.06516935880270396,1.684543443495014e-07,6.538171521952592e-06
1.784543443495014e-07,0.6134540128562385,1.784543443495014e-07,0.07812662576539574,1.784543443495014e-07,7.840364867330737e-06
1.884543443495014e-07,0.6142077946943028,1.884543443495014e-07,0.09174855005942922,1.884543443495014e-07,9.210556299801061e-06
1.984543443495015e-07,0.6149615540963198,1.984543443495015e-07,0.1059224235989703,1.984543443495015e-07,1.063837858453539e-05
2.084543443495015e-07,0.6157152898720007,2.084543443495015e-07,0.1205562546085723,2.084543443495015e-07,1.211740566488502e-05
2.184543443495015e-07,0.616469000831094,2.184543443495015e-07,0.135570754387642,2.184543443495015e-07,1.36486428067834e-05
2.284543443495015e-07,0.6172226857833869,2.284543443495015e-07,0.1508551457144532,2.284543443495015e-07,1.528510289871101e-05
2.332339125910185e-07,0.6175829051167799,2.332339125910185e-07,0.1580944588280704,2.332339125910185e-07,1.627125925551939e-05
2.381895835664406e-07,0.6179563899975545,2.381895835664406e-07,0.1658476078958729,2.381895835664406e-07,1.710592879840481e-05
2.416504082667986e-07,0.6182172114452084,2.416504082667986e-07,0.1713243274371397,2.416504082667986e-07,1.767130954362576e-05
